




Analysis Type:	PANTHER Overrepresentation Test (Released 20231017)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-01-05
Analyzed List:	FS_True_MC_False_VG_False.txt (Bacillus subtilis)
Reference List:	reference.txt (Bacillus subtilis)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	reference.txt - REFLIST (883)	FS_True_MC_False_VG_False.txt (2)	FS_True_MC_False_VG_False.txt (expected)	FS_True_MC_False_VG_False.txt (over/under)	FS_True_MC_False_VG_False.txt (fold Enrichment)	FS_True_MC_False_VG_False.txt (raw P-value)	FS_True_MC_False_VG_False.txt (FDR)
organophosphate catabolic process (GO:0046434)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
pyruvate family amino acid biosynthetic process (GO:0009079)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cell wall organization (GO:0071555)	36	0	.08	-	 < 0.01	1.00E00	1.00E00
nucleoside salvage (GO:0043174)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
pyruvate family amino acid metabolic process (GO:0009078)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cell wall organization or biogenesis (GO:0071554)	41	0	.09	-	 < 0.01	1.00E00	1.00E00
nucleotide salvage (GO:0043173)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
aromatic amino acid family biosynthetic process (GO:0009073)	19	0	.04	-	 < 0.01	1.00E00	1.00E00
aromatic amino acid metabolic process (GO:0009072)	19	0	.04	-	 < 0.01	1.00E00	1.00E00
serine family amino acid catabolic process (GO:0009071)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
serine family amino acid biosynthetic process (GO:0009070)	14	0	.03	-	 < 0.01	1.00E00	1.00E00
inorganic ion homeostasis (GO:0098771)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
tryptophan biosynthetic process (GO:0000162)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular lipid metabolic process (GO:0044255)	57	0	.13	-	 < 0.01	1.00E00	1.00E00
serine family amino acid metabolic process (GO:0009069)	21	0	.05	-	 < 0.01	1.00E00	1.00E00
aspartate family amino acid catabolic process (GO:0009068)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
aspartate family amino acid biosynthetic process (GO:0009067)	30	0	.07	-	 < 0.01	1.00E00	1.00E00
aspartate family amino acid metabolic process (GO:0009066)	39	0	.09	-	 < 0.01	1.00E00	1.00E00
glutamine family amino acid catabolic process (GO:0009065)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
glutamine family amino acid metabolic process (GO:0009064)	45	0	.10	-	 < 0.01	1.00E00	1.00E00
farnesyl diphosphate metabolic process (GO:0045338)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of DNA metabolic process (GO:0051053)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
amino acid catabolic process (GO:0009063)	25	0	.06	-	 < 0.01	1.00E00	1.00E00
farnesyl diphosphate biosynthetic process (GO:0045337)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of DNA metabolic process (GO:0051052)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
fatty acid catabolic process (GO:0009062)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
anaerobic respiration (GO:0009061)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
aerobic respiration (GO:0009060)	28	0	.06	-	 < 0.01	1.00E00	1.00E00
cellular respiration (GO:0045333)	31	0	.07	-	 < 0.01	1.00E00	1.00E00
cellular catabolic process (GO:0044248)	77	0	.17	-	 < 0.01	1.00E00	1.00E00
rRNA modification (GO:0000154)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular lipid catabolic process (GO:0044242)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
chorismate metabolic process (GO:0046417)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
D-amino acid metabolic process (GO:0046416)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
urate metabolic process (GO:0046415)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA biosynthetic process (GO:0071897)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
2-keto-3-deoxygluconate transmembrane transport (GO:0046411)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
macromolecule catabolic process (GO:0009057)	15	0	.03	-	 < 0.01	1.00E00	1.00E00
catabolic process (GO:0009056)	132	0	.30	-	 < 0.01	1.00E00	1.00E00
pentose-phosphate shunt, non-oxidative branch (GO:0009052)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pentose-phosphate shunt, oxidative branch (GO:0009051)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
detoxification (GO:0098754)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
D-amino acid catabolic process (GO:0019478)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-lysine catabolic process (GO:0019477)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
L-lysine catabolic process to acetate (GO:0019475)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-lysine catabolic process to acetyl-CoA (GO:0019474)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of macromolecule biosynthetic process (GO:0010558)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of macromolecule biosynthetic process (GO:0010557)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
FMN biosynthetic process (GO:0009398)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
import across plasma membrane (GO:0098739)	24	0	.05	-	 < 0.01	1.00E00	1.00E00
folic acid-containing compound biosynthetic process (GO:0009396)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
2'-deoxyribonucleotide metabolic process (GO:0009394)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
CTP salvage (GO:0044211)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
'de novo' CTP biosynthetic process (GO:0044210)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
establishment of protein localization to extracellular region (GO:0035592)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to cold (GO:0070417)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular modified amino acid biosynthetic process (GO:0042398)	13	0	.03	-	 < 0.01	1.00E00	1.00E00
L-aspartate transmembrane transport (GO:0070778)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
isoprenoid biosynthetic process (GO:0008299)	13	0	.03	-	 < 0.01	1.00E00	1.00E00
AMP salvage (GO:0044209)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
'de novo' AMP biosynthetic process (GO:0044208)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
spermidine biosynthetic process (GO:0008295)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
UMP salvage (GO:0044206)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
'de novo' UMP biosynthetic process (GO:0044205)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
sodium ion import across plasma membrane (GO:0098719)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein refolding (GO:0042026)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
aromatic compound catabolic process (GO:0019439)	20	0	.05	-	 < 0.01	1.00E00	1.00E00
histidine biosynthetic process (GO:0000105)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
teichoic acid D-alanylation (GO:0070400)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sulfate assimilation (GO:0000103)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell population proliferation (GO:0008284)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
sulfur amino acid transport (GO:0000101)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
removal of superoxide radicals (GO:0019430)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
secondary metabolite biosynthetic process (GO:0044550)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
amino acid salvage (GO:0043102)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
purine-containing compound salvage (GO:0043101)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleobase salvage (GO:0043100)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular component organization or biogenesis (GO:0071840)	68	0	.15	-	 < 0.01	1.00E00	1.00E00
carbohydrate import across plasma membrane (GO:0098704)	23	0	.05	-	 < 0.01	1.00E00	1.00E00
vitamin K metabolic process (GO:0042373)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
polysaccharide localization (GO:0033037)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
macromolecule localization (GO:0033036)	23	0	.05	-	 < 0.01	1.00E00	1.00E00
vitamin K biosynthetic process (GO:0042371)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sulfate transport (GO:0008272)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
export from cell (GO:0140352)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
lipid localization (GO:0010876)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cilium or flagellum-dependent cell motility (GO:0001539)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tricarboxylic acid cycle (GO:0006099)	17	0	.04	-	 < 0.01	1.00E00	1.00E00
GDP metabolic process (GO:0046710)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pentose-phosphate shunt (GO:0006098)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
glyoxylate cycle (GO:0006097)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycolytic process (GO:0006096)	17	0	.04	-	 < 0.01	1.00E00	1.00E00
gluconeogenesis (GO:0006094)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
generation of precursor metabolites and energy (GO:0006091)	47	0	.11	-	 < 0.01	1.00E00	1.00E00
water-soluble vitamin catabolic process (GO:0042365)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pyruvate metabolic process (GO:0006090)	26	0	.06	-	 < 0.01	1.00E00	1.00E00
ncRNA processing (GO:0034470)	17	0	.04	-	 < 0.01	1.00E00	1.00E00
water-soluble vitamin biosynthetic process (GO:0042364)	36	0	.08	-	 < 0.01	1.00E00	1.00E00
sulfate reduction (GO:0019419)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
putrescine biosynthetic process from arginine, using agmatinase (GO:0033389)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
fat-soluble vitamin biosynthetic process (GO:0042362)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
putrescine biosynthetic process from arginine (GO:0033388)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of DNA-templated DNA replication initiation (GO:0032297)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-RNA complex organization (GO:0071826)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
protein-DNA complex organization (GO:0071824)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
heterocycle catabolic process (GO:0046700)	22	0	.05	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA biosynthetic process from pyruvate (GO:0006086)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA biosynthetic process (GO:0006085)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA metabolic process (GO:0006084)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
acetate metabolic process (GO:0006083)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
thiamine diphosphate metabolic process (GO:0042357)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
organic acid metabolic process (GO:0006082)	288	0	.65	-	 < 0.01	1.00E00	1.00E00
cellular aldehyde metabolic process (GO:0006081)	16	0	.04	-	 < 0.01	1.00E00	1.00E00
hexitol catabolic process (GO:0019407)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
tetrapyrrole biosynthetic process (GO:0033014)	14	0	.03	-	 < 0.01	1.00E00	1.00E00
alditol catabolic process (GO:0019405)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
tetrapyrrole metabolic process (GO:0033013)	14	0	.03	-	 < 0.01	1.00E00	1.00E00
non-membrane-bounded organelle assembly (GO:0140694)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
alditol metabolic process (GO:0019400)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
signal transduction (GO:0007165)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxoacid metabolic process (GO:0043436)	266	0	.60	-	 < 0.01	1.00E00	1.00E00
salicylic acid biosynthetic process (GO:0009697)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
salicylic acid metabolic process (GO:0009696)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate metabolic process (GO:0006072)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA methylation (GO:0001510)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
glycerol metabolic process (GO:0006071)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular macromolecule localization (GO:0070727)	16	0	.04	-	 < 0.01	1.00E00	1.00E00
protein localization to organelle (GO:0033365)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
one-carbon compound transport (GO:0019755)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
carboxylic acid metabolic process (GO:0019752)	260	0	.59	-	 < 0.01	1.00E00	1.00E00
polyol metabolic process (GO:0019751)	15	0	.03	-	 < 0.01	1.00E00	1.00E00
cell adhesion (GO:0007155)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cell communication (GO:0007154)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
protein transmembrane transport (GO:0071806)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
potassium ion transmembrane transport (GO:0071805)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
alcohol metabolic process (GO:0006066)	31	0	.07	-	 < 0.01	1.00E00	1.00E00
UDP-glucuronate biosynthetic process (GO:0006065)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glucuronate catabolic process (GO:0006064)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
uronic acid metabolic process (GO:0006063)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
glucosamine-containing compound catabolic process (GO:1901072)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
lipid oxidation (GO:0034440)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
glucosamine-containing compound metabolic process (GO:1901071)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
secondary metabolic process (GO:0019748)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
S-adenosylmethionine cycle (GO:0033353)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
transcription elongation-coupled chromatin remodeling (GO:0140673)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein repair (GO:0030091)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nitrogen utilization (GO:0019740)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
urea catabolic process (GO:0043419)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
proline transmembrane transport (GO:0035524)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
homocysteine catabolic process (GO:0043418)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
XMP salvage (GO:0032265)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
IMP salvage (GO:0032264)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GMP salvage (GO:0032263)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleotide salvage (GO:0032262)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
macromolecule methylation (GO:0043414)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
purine nucleotide salvage (GO:0032261)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
macromolecule glycosylation (GO:0043413)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hexitol metabolic process (GO:0006059)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
macromolecule modification (GO:0043412)	12	0	.03	-	 < 0.01	1.00E00	1.00E00
localization within membrane (GO:0051668)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protein transport (GO:0015031)	16	0	.04	-	 < 0.01	1.00E00	1.00E00
oligosaccharide catabolic process (GO:0009313)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cell division (GO:0051302)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
N-acetylneuraminate metabolic process (GO:0006054)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cell division (GO:0051301)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
oligosaccharide metabolic process (GO:0009311)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
amine catabolic process (GO:0009310)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
terpenoid biosynthetic process (GO:0016114)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
methylation (GO:0032259)	12	0	.03	-	 < 0.01	1.00E00	1.00E00
lactate transmembrane transport (GO:0035873)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
amine biosynthetic process (GO:0009309)	14	0	.03	-	 < 0.01	1.00E00	1.00E00
amine metabolic process (GO:0009308)	16	0	.04	-	 < 0.01	1.00E00	1.00E00
DNA restriction-modification system (GO:0009307)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine biosynthetic process (GO:0006048)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protein secretion (GO:0009306)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine metabolic process (GO:0006047)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
N-acetylglucosamine catabolic process (GO:0006046)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
rRNA methylation (GO:0031167)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
N-acetylglucosamine metabolic process (GO:0006044)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glucosamine catabolic process (GO:0006043)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glucosamine metabolic process (GO:0006041)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
metallo-sulfur cluster assembly (GO:0031163)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
amino sugar metabolic process (GO:0006040)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
spermidine metabolic process (GO:0008216)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
spermine metabolic process (GO:0008215)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glucose catabolic process to pyruvate (GO:0061718)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular homeostasis (GO:0019725)	12	0	.03	-	 < 0.01	1.00E00	1.00E00
Mo-molybdopterin cofactor metabolic process (GO:0019720)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
establishment of localization in cell (GO:0051649)	14	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA metabolic process (GO:0006399)	28	0	.06	-	 < 0.01	1.00E00	1.00E00
mRNA processing (GO:0006397)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA processing (GO:0006396)	20	0	.05	-	 < 0.01	1.00E00	1.00E00
cellular detoxification (GO:1990748)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular localization (GO:0051641)	22	0	.05	-	 < 0.01	1.00E00	1.00E00
nitrogen catabolite repression of transcription (GO:0090295)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycosaminoglycan catabolic process (GO:0006027)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
glucose transmembrane transport (GO:1904659)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
nitrogen catabolite regulation of transcription (GO:0090293)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
aminoglycan catabolic process (GO:0006026)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
glycosaminoglycan biosynthetic process (GO:0006024)	14	0	.03	-	 < 0.01	1.00E00	1.00E00
nucleobase-containing small molecule biosynthetic process (GO:0034404)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
aminoglycan biosynthetic process (GO:0006023)	14	0	.03	-	 < 0.01	1.00E00	1.00E00
aminoglycan metabolic process (GO:0006022)	19	0	.04	-	 < 0.01	1.00E00	1.00E00
inositol metabolic process (GO:0006020)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
adenosine to inosine editing (GO:0006382)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-alpha-amino acid transmembrane transport (GO:1902475)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
Unclassified (UNCLASSIFIED)	42	0	.10	-	 < 0.01	1.00E00	1.00E00
response to toxic substance (GO:0009636)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
5-phosphoribose 1-diphosphate biosynthetic process (GO:0006015)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
response to herbicide (GO:0009635)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
D-ribose metabolic process (GO:0006014)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
iron ion transmembrane transport (GO:0034755)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
galactose metabolic process (GO:0006012)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
UDP-glucose metabolic process (GO:0006011)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
response to extracellular stimulus (GO:0009991)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
response to stimulus (GO:0050896)	46	0	.10	-	 < 0.01	1.00E00	1.00E00
riboflavin transport (GO:0032218)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
response to abiotic stimulus (GO:0009628)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
glucose catabolic process (GO:0006007)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glucose metabolic process (GO:0006006)	15	0	.03	-	 < 0.01	1.00E00	1.00E00
transcription elongation by RNA polymerase II (GO:0006368)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transcription by RNA polymerase II (GO:0006366)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
rRNA 3'-end processing (GO:0031125)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
fructose 6-phosphate metabolic process (GO:0006002)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
rRNA processing (GO:0006364)	12	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA 3'-end processing (GO:0031123)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
transcription-coupled nucleotide-excision repair, DNA damage recognition (GO:0000716)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleobase-containing small molecule metabolic process (GO:0055086)	113	0	.26	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair, DNA damage recognition (GO:0000715)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transmembrane transport (GO:0055085)	186	0	.42	-	 < 0.01	1.00E00	1.00E00
intracellular chemical homeostasis (GO:0055082)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
monoatomic cation homeostasis (GO:0055080)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
phenol-containing compound metabolic process (GO:0018958)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
antimonite transport (GO:0015699)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inorganic anion transport (GO:0015698)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
quaternary ammonium group transport (GO:0015697)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
organic cation transport (GO:0015695)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
magnesium ion transport (GO:0015693)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
protein maturation (GO:0051604)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cadmium ion transport (GO:0015691)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA-templated transcription elongation (GO:0006354)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA-templated transcription termination (GO:0006353)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
cytidine deamination (GO:0009972)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
organic cyclic compound catabolic process (GO:1901361)	23	0	.05	-	 < 0.01	1.00E00	1.00E00
maltose transmembrane transport (GO:1904981)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
fructose 1,6-bisphosphate metabolic process (GO:0030388)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
calcium ion homeostasis (GO:0055074)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
guanine biosynthetic process (GO:0046099)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
guanine metabolic process (GO:0046098)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
copper ion homeostasis (GO:0055070)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
response to biotic stimulus (GO:0009607)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
response to external stimulus (GO:0009605)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
glycine betaine transport (GO:0031460)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
cytidine metabolic process (GO:0046087)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
adenine biosynthetic process (GO:0046084)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
adenine metabolic process (GO:0046083)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
chromatin remodeling (GO:0006338)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycine betaine biosynthetic process (GO:0031456)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glycine betaine metabolic process (GO:0031455)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
intracellular monoatomic cation homeostasis (GO:0030003)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
dUDP metabolic process (GO:0046077)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
metal ion transport (GO:0030001)	44	0	.10	-	 < 0.01	1.00E00	1.00E00
dTTP metabolic process (GO:0046075)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
dTMP metabolic process (GO:0046073)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dTDP metabolic process (GO:0046072)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
chromatin organization (GO:0006325)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to nitrogen compound (GO:1901699)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
response to nitrogen compound (GO:1901698)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
maltodextrin transmembrane transport (GO:0042956)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
liposaccharide metabolic process (GO:1903509)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
teichuronic acid metabolic process (GO:0050846)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
teichuronic acid biosynthetic process (GO:0050845)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA recombination (GO:0006310)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxalate metabolic process (GO:0033609)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
dAMP metabolic process (GO:0046053)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
UTP metabolic process (GO:0046051)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
isoprenoid biosynthetic process via mevalonate (GO:1902767)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to chemical stress (GO:0062197)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
malonyl-CoA biosynthetic process (GO:2001295)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
malonyl-CoA metabolic process (GO:2001293)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of response to stimulus (GO:0048583)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA methylation (GO:0006306)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA alkylation (GO:0006305)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
